QUEST_LV_0200_20150317_000001	Philip's soldiers
QUEST_LV_0200_20150317_000721	
QUEST_LV_0200_20150317_000722	
QUEST_LV_0200_20150317_000723	
QUEST_LV_0200_20150317_000724	
QUEST_LV_0200_20150317_000725	
QUEST_LV_0200_20150317_000726	
QUEST_LV_0200_20150317_000727	
QUEST_LV_0200_20150317_000728	
QUEST_LV_0200_20150317_000729	
QUEST_LV_0200_20150317_000730	
QUEST_LV_0200_20150317_000731	
QUEST_LV_0200_20150317_000732	
QUEST_LV_0200_20150317_000733	
QUEST_LV_0200_20150317_000734	
QUEST_LV_0200_20150317_000735	
QUEST_LV_0200_20150317_000736	
QUEST_LV_0200_20150317_000737	
QUEST_LV_0200_20150317_000738	
QUEST_LV_0200_20150317_000739	
QUEST_LV_0200_20150317_000740	
QUEST_LV_0200_20150317_000741	
QUEST_LV_0200_20150317_000742	
QUEST_LV_0200_20150317_000743	
QUEST_LV_0200_20150317_000744	
QUEST_LV_0200_20150317_000745	
QUEST_LV_0200_20150317_000746	
QUEST_LV_0200_20150317_000747	
QUEST_LV_0200_20150317_000748	
QUEST_LV_0200_20150317_000749	
QUEST_LV_0200_20150317_000750	
QUEST_LV_0200_20150317_000751	
QUEST_LV_0200_20150317_000752	
QUEST_LV_0200_20150317_000753	
QUEST_LV_0200_20150317_000754	
QUEST_LV_0200_20150317_000755	
QUEST_LV_0200_20150317_000756	
QUEST_LV_0200_20150317_000757	
QUEST_LV_0200_20150317_000758	
QUEST_LV_0200_20150317_000759	
QUEST_LV_0200_20150317_000760	
QUEST_LV_0200_20150317_000761	
QUEST_LV_0200_20150317_000762	
QUEST_LV_0200_20150317_000763	
QUEST_LV_0200_20150317_000764	
QUEST_LV_0200_20150317_000765	
QUEST_LV_0200_20150317_000766	
QUEST_LV_0200_20150317_000767	
QUEST_LV_0200_20150317_000768	
QUEST_LV_0200_20150317_000769	
QUEST_LV_0200_20150317_000770	
QUEST_LV_0200_20150317_000771	
QUEST_LV_0200_20150317_000772	
QUEST_LV_0200_20150317_000773	
QUEST_LV_0200_20150317_000774	
QUEST_LV_0200_20150317_000775	
QUEST_LV_0200_20150317_000776	
QUEST_LV_0200_20150317_000777	
QUEST_LV_0200_20150317_000778	
QUEST_LV_0200_20150317_000779	
QUEST_LV_0200_20150317_000780	
QUEST_LV_0200_20150317_000781	
QUEST_LV_0200_20150317_000782	
QUEST_LV_0200_20150317_000783	
QUEST_LV_0200_20150317_000784	
QUEST_LV_0200_20150317_000785	
QUEST_LV_0200_20150317_000786	
QUEST_LV_0200_20150317_000787	
QUEST_LV_0200_20150317_000788	
QUEST_LV_0200_20150317_000789	
QUEST_LV_0200_20150317_000790	
QUEST_LV_0200_20150317_000791	
QUEST_LV_0200_20150317_000792	
QUEST_LV_0200_20150317_000793	
QUEST_LV_0200_20150317_000794	
QUEST_LV_0200_20150317_000795	
QUEST_LV_0200_20150317_000796	
QUEST_LV_0200_20150317_000797	
QUEST_LV_0200_20150317_000798	
QUEST_LV_0200_20150317_000799	
QUEST_LV_0200_20150317_000800	
QUEST_LV_0200_20150317_000801	
QUEST_LV_0200_20150317_000802	
QUEST_LV_0200_20150317_000803	
QUEST_LV_0200_20150317_000804	
QUEST_LV_0200_20150317_000805	
QUEST_LV_0200_20150317_000806	
QUEST_LV_0200_20150317_000807	
QUEST_LV_0200_20150317_000808	
QUEST_LV_0200_20150317_000809	
QUEST_LV_0200_20150317_000810	
QUEST_LV_0200_20150317_000811	
QUEST_LV_0200_20150317_000812	
QUEST_LV_0200_20150317_000813	
QUEST_LV_0200_20150317_000814	
QUEST_LV_0200_20150317_000815	
QUEST_LV_0200_20150317_000816	
QUEST_LV_0200_20150317_000817	
QUEST_LV_0200_20150317_000818	
QUEST_LV_0200_20150317_000819	
QUEST_LV_0200_20150317_000820	
QUEST_LV_0200_20150317_000821	
QUEST_LV_0200_20150317_000822	
QUEST_LV_0200_20150317_000823	
QUEST_LV_0200_20150317_000824	
QUEST_LV_0200_20150317_000825	
QUEST_LV_0200_20150317_000826	
QUEST_LV_0200_20150317_000827	
QUEST_LV_0200_20150317_000828	
QUEST_LV_0200_20150317_000829	
QUEST_LV_0200_20150317_000830	
QUEST_LV_0200_20150317_000831	
QUEST_LV_0200_20150317_000832	
QUEST_LV_0200_20150317_000833	
QUEST_LV_0200_20150317_000834	
QUEST_LV_0200_20150317_000835	
QUEST_LV_0200_20150317_000836	
QUEST_LV_0200_20150317_000837	
QUEST_LV_0200_20150317_000838	
QUEST_LV_0200_20150317_000839	
QUEST_LV_0200_20150317_000840	
QUEST_LV_0200_20150317_000841	
QUEST_LV_0200_20150317_000842	
QUEST_LV_0200_20150317_000843	
QUEST_LV_0200_20150317_000844	
QUEST_LV_0200_20150317_000845	
QUEST_LV_0200_20150317_000846	
QUEST_LV_0200_20150317_000847	
QUEST_LV_0200_20150317_000848	
QUEST_LV_0200_20150317_000849	
QUEST_LV_0200_20150317_000850	
QUEST_LV_0200_20150317_000851	
QUEST_LV_0200_20150317_000852	
QUEST_LV_0200_20150317_000853	
QUEST_LV_0200_20150317_000854	
QUEST_LV_0200_20150317_000855	
QUEST_LV_0200_20150317_000856	
QUEST_LV_0200_20150317_000857	
QUEST_LV_0200_20150317_000858	
QUEST_LV_0200_20150317_000859	
QUEST_LV_0200_20150317_000860	
QUEST_LV_0200_20150317_000861	
QUEST_LV_0200_20150317_000862	
QUEST_LV_0200_20150317_000863	
QUEST_LV_0200_20150317_000864	
QUEST_LV_0200_20150317_000865	
QUEST_LV_0200_20150317_000866	
QUEST_LV_0200_20150317_000867	
QUEST_LV_0200_20150317_000868	
QUEST_LV_0200_20150317_000869	
QUEST_LV_0200_20150317_000870	
QUEST_LV_0200_20150317_000871	
QUEST_LV_0200_20150317_000872	
QUEST_LV_0200_20150317_000873	
QUEST_LV_0200_20150317_000874	
QUEST_LV_0200_20150317_000875	
QUEST_LV_0200_20150317_000877	
QUEST_LV_0200_20150317_000878	
QUEST_LV_0200_20150317_000879	
QUEST_LV_0200_20150317_000880	
QUEST_LV_0200_20150317_000881	
QUEST_LV_0200_20150317_000882	
QUEST_LV_0200_20150317_000883	
QUEST_LV_0200_20150317_000884	
QUEST_LV_0200_20150317_000885	
QUEST_LV_0200_20150317_000887	
QUEST_LV_0200_20150317_000889	
QUEST_LV_0200_20150317_000890	
QUEST_LV_0200_20150317_000891	
QUEST_LV_0200_20150317_000892	
QUEST_LV_0200_20150317_000893	
QUEST_LV_0200_20150317_000894	
QUEST_LV_0200_20150317_000895	
QUEST_LV_0200_20150317_000896	
QUEST_LV_0200_20150317_000897	
QUEST_LV_0200_20150317_000898	
QUEST_LV_0200_20150317_000899	
QUEST_LV_0200_20150317_000900	
QUEST_LV_0200_20150317_000901	
QUEST_LV_0200_20150317_000902	
QUEST_LV_0200_20150317_000903	
QUEST_LV_0200_20150317_000904	
QUEST_LV_0200_20150317_000905	
QUEST_LV_0200_20150317_000906	
QUEST_LV_0200_20150317_000907	
QUEST_LV_0200_20150317_000908	
QUEST_LV_0200_20150317_000909	
QUEST_LV_0200_20150317_000910	
QUEST_LV_0200_20150317_000911	
QUEST_LV_0200_20150317_000912	
QUEST_LV_0200_20150317_000913	
QUEST_LV_0200_20150317_000914	
QUEST_LV_0200_20150317_000915	
QUEST_LV_0200_20150317_000916	
QUEST_LV_0200_20150317_000917	
QUEST_LV_0200_20150317_000918	
QUEST_LV_0200_20150317_000919	
QUEST_LV_0200_20150317_000920	
QUEST_LV_0200_20150317_000921	
QUEST_LV_0200_20150317_000922	
QUEST_LV_0200_20150317_000923	
QUEST_LV_0200_20150317_000924	
QUEST_LV_0200_20150317_000925	
QUEST_LV_0200_20150317_000926	
QUEST_LV_0200_20150317_000927	
QUEST_LV_0200_20150317_000928	
QUEST_LV_0200_20150317_000929	
QUEST_LV_0200_20150317_000930	
QUEST_LV_0200_20150317_000932	
QUEST_LV_0200_20150317_000933	
QUEST_LV_0200_20150317_000937	
QUEST_LV_0200_20150317_000939	
QUEST_LV_0200_20150317_000940	
QUEST_LV_0200_20150317_000942	
QUEST_LV_0200_20150317_000943	
QUEST_LV_0200_20150317_000945	
QUEST_LV_0200_20150317_000946	
QUEST_LV_0200_20150317_000947	
QUEST_LV_0200_20150317_000948	
QUEST_LV_0200_20150317_000950	
QUEST_LV_0200_20150317_000951	
QUEST_LV_0200_20150317_000953	
QUEST_LV_0200_20150317_000959	
QUEST_LV_0200_20150317_000960	
QUEST_LV_0200_20150317_000961	
QUEST_LV_0200_20150317_000962	
QUEST_LV_0200_20150317_000963	
QUEST_LV_0200_20150317_000965	
QUEST_LV_0200_20150317_000966	
QUEST_LV_0200_20150317_000967	
QUEST_LV_0200_20150317_000969	
QUEST_LV_0200_20150317_000971	
QUEST_LV_0200_20150317_000972	
QUEST_LV_0200_20150317_000973	
QUEST_LV_0200_20150317_000974	
QUEST_LV_0200_20150317_000975	
QUEST_LV_0200_20150317_000976	
QUEST_LV_0200_20150317_000977	
QUEST_LV_0200_20150317_000978	
QUEST_LV_0200_20150317_000979	
QUEST_LV_0200_20150317_000980	
QUEST_LV_0200_20150317_000981	
QUEST_LV_0200_20150317_000983	
QUEST_LV_0200_20150317_000984	
QUEST_LV_0200_20150317_000985	
QUEST_LV_0200_20150317_000986	
QUEST_LV_0200_20150317_000987	
QUEST_LV_0200_20150317_000988	
QUEST_LV_0200_20150317_000989	
QUEST_LV_0200_20150317_000990	
QUEST_LV_0200_20150317_000991	
QUEST_LV_0200_20150317_000992	
QUEST_LV_0200_20150317_000993	
QUEST_LV_0200_20150317_000994	
QUEST_LV_0200_20150317_000995	
QUEST_LV_0200_20150317_000996	
QUEST_LV_0200_20150317_000997	
QUEST_LV_0200_20150317_000998	
QUEST_LV_0200_20150317_000999	
QUEST_LV_0200_20150317_001001	
QUEST_LV_0200_20150317_001002	
QUEST_LV_0200_20150317_001003	
QUEST_LV_0200_20150317_001004	
QUEST_LV_0200_20150317_001005	
QUEST_LV_0200_20150317_001006	
QUEST_LV_0200_20150317_001007	
QUEST_LV_0200_20150317_001008	
QUEST_LV_0200_20150317_001009	
QUEST_LV_0200_20150317_001010	
QUEST_LV_0200_20150317_001011	
QUEST_LV_0200_20150317_001012	
QUEST_LV_0200_20150317_001013	
QUEST_LV_0200_20150317_001014	
QUEST_LV_0200_20150317_001015	
QUEST_LV_0200_20150317_001016	
QUEST_LV_0200_20150317_001017	
QUEST_LV_0200_20150317_001018	
QUEST_LV_0200_20150317_001019	
QUEST_LV_0200_20150317_001020	
QUEST_LV_0200_20150317_001021	
QUEST_LV_0200_20150317_001022	
QUEST_LV_0200_20150317_001023	
QUEST_LV_0200_20150317_001024	
QUEST_LV_0200_20150317_001025	
QUEST_LV_0200_20150317_001026	
QUEST_LV_0200_20150317_001027	
QUEST_LV_0200_20150317_001028	
QUEST_LV_0200_20150317_001029	
QUEST_LV_0200_20150317_001030	
QUEST_LV_0200_20150317_001031	
QUEST_LV_0200_20150317_001032	
QUEST_LV_0200_20150317_001033	
QUEST_LV_0200_20150317_001034	
QUEST_LV_0200_20150317_001035	
QUEST_LV_0200_20150317_001036	
QUEST_LV_0200_20150317_001037	
QUEST_LV_0200_20150317_001038	
QUEST_LV_0200_20150317_001039	
QUEST_LV_0200_20150317_001040	
QUEST_LV_0200_20150317_001041	
QUEST_LV_0200_20150317_001042	
QUEST_LV_0200_20150317_001043	
QUEST_LV_0200_20150317_001046	
QUEST_LV_0200_20150317_001047	
QUEST_LV_0200_20150317_001048	
QUEST_LV_0200_20150317_001049	
QUEST_LV_0200_20150317_001050	
QUEST_LV_0200_20150317_001051	
QUEST_LV_0200_20150317_001052	
QUEST_LV_0200_20150317_001053	
QUEST_LV_0200_20150317_001054	
QUEST_LV_0200_20150317_001055	
QUEST_LV_0200_20150317_001056	
QUEST_LV_0200_20150317_001057	
QUEST_LV_0200_20150317_001058	
QUEST_LV_0200_20150317_001059	
QUEST_LV_0200_20150317_001060	
QUEST_LV_0200_20150317_001061	
QUEST_LV_0200_20150317_001062	
QUEST_LV_0200_20150317_001063	
QUEST_LV_0200_20150317_001066	
QUEST_LV_0200_20150317_001067	
QUEST_LV_0200_20150317_001068	
QUEST_LV_0200_20150317_001069	
QUEST_LV_0200_20150317_001070	
QUEST_LV_0200_20150317_001071	
QUEST_LV_0200_20150317_001072	
QUEST_LV_0200_20150317_001074	
QUEST_LV_0200_20150317_001075	
QUEST_LV_0200_20150317_001076	
QUEST_LV_0200_20150317_001077	
QUEST_LV_0200_20150317_001078	
QUEST_LV_0200_20150317_001079	
QUEST_LV_0200_20150317_001080	
QUEST_LV_0200_20150317_001081	
QUEST_LV_0200_20150317_001082	
QUEST_LV_0200_20150317_001083	
QUEST_LV_0200_20150317_001084	
QUEST_LV_0200_20150317_001085	
QUEST_LV_0200_20150317_001086	
QUEST_LV_0200_20150317_001087	
QUEST_LV_0200_20150317_001088	
QUEST_LV_0200_20150317_001089	
QUEST_LV_0200_20150317_001090	
QUEST_LV_0200_20150317_001091	
QUEST_LV_0200_20150317_001092	
QUEST_LV_0200_20150317_001093	
QUEST_LV_0200_20150317_001094	
QUEST_LV_0200_20150317_001097	
QUEST_LV_0200_20150317_001098	
QUEST_LV_0200_20150317_001099	
QUEST_LV_0200_20150317_001100	
QUEST_LV_0200_20150317_001102	
QUEST_LV_0200_20150317_001103	
QUEST_LV_0200_20150317_001104	
QUEST_LV_0200_20150317_001105	
QUEST_LV_0200_20150317_001106	
QUEST_LV_0200_20150317_001107	
QUEST_LV_0200_20150317_001108	
QUEST_LV_0200_20150317_001109	
QUEST_LV_0200_20150317_001110	
QUEST_LV_0200_20150317_001111	
QUEST_LV_0200_20150317_001112	First regain the symbol of the Goddess and then restore the Altar of Austeza. {nl} Purifying revelators are next.
QUEST_LV_0200_20150317_001113	
QUEST_LV_0200_20150317_001115	
QUEST_LV_0200_20150317_001116	
QUEST_LV_0200_20150317_001117	
QUEST_LV_0200_20150317_001118	
QUEST_LV_0200_20150317_001119	Restore the weakened tower using symbol of Goddess Austeza.{nl}It is rakiss seal and rak seal.
QUEST_LV_0200_20150317_001120	
QUEST_LV_0200_20150317_001121	We don't know what will happen next.{nl} We believe that Goddess Austeza take care of this matter before it.
QUEST_LV_0200_20150317_001123	
QUEST_LV_0200_20150317_001124	
QUEST_LV_0200_20150317_001125	
QUEST_LV_0200_20150317_001126	
QUEST_LV_0200_20150317_001127	
QUEST_LV_0200_20150317_001128	
QUEST_LV_0200_20150317_001129	
QUEST_LV_0200_20150317_001130	
QUEST_LV_0200_20150317_001131	
QUEST_LV_0200_20150317_001132	
QUEST_LV_0200_20150317_001133	
QUEST_LV_0200_20150317_001134	
QUEST_LV_0200_20150317_001135	
QUEST_LV_0200_20150317_001136	
QUEST_LV_0200_20150317_001137	
QUEST_LV_0200_20150317_001139	
QUEST_LV_0200_20150317_001141	
QUEST_LV_0200_20150317_001143	
QUEST_LV_0200_20150317_001146	
QUEST_LV_0200_20150317_001148	
QUEST_LV_0200_20150317_001179	
QUEST_LV_0200_20150317_001180	
QUEST_LV_0200_20150317_001181	
QUEST_LV_0200_20150317_001191	
QUEST_LV_0200_20150317_001200	
QUEST_LV_0200_20150317_001204	
QUEST_LV_0200_20150317_001205	I'll help scout
QUEST_LV_0200_20150317_001206	
QUEST_LV_0200_20150317_001207	
QUEST_LV_0200_20150317_001208	
QUEST_LV_0200_20150317_001209	
QUEST_LV_0200_20150317_001210	
QUEST_LV_0200_20150317_001211	
QUEST_LV_0200_20150317_001212	
QUEST_LV_0200_20150317_001213	
QUEST_LV_0200_20150317_001214	
QUEST_LV_0200_20150317_001215	
QUEST_LV_0200_20150317_001216	
QUEST_LV_0200_20150317_001217	
QUEST_LV_0200_20150317_001218	
QUEST_LV_0200_20150317_001219	
QUEST_LV_0200_20150317_001220	
QUEST_LV_0200_20150317_001221	
QUEST_LV_0200_20150317_001222	
QUEST_LV_0200_20150317_001223	
QUEST_LV_0200_20150317_001224	
QUEST_LV_0200_20150317_001225	
QUEST_LV_0200_20150317_001226	
QUEST_LV_0200_20150317_001227	
QUEST_LV_0200_20150317_001228	
QUEST_LV_0200_20150317_001229	
QUEST_LV_0200_20150317_001230	I'll go to the Drieja swamps
QUEST_LV_0200_20150317_001231	
QUEST_LV_0200_20150317_001232	Notice / Ironbaum treatment! / 5
QUEST_LV_0200_20150317_001233	
QUEST_LV_0200_20150317_001234	
QUEST_LV_0200_20150317_001235	Commander Vacenin (1)
QUEST_LV_0200_20150317_001236	
QUEST_LV_0200_20150317_001237	
QUEST_LV_0200_20150317_001238	
QUEST_LV_0200_20150317_001239	
QUEST_LV_0200_20150317_001240	
QUEST_LV_0200_20150317_001241	
QUEST_LV_0200_20150317_001242	
QUEST_LV_0200_20150317_001243	
QUEST_LV_0200_20150317_001244	
QUEST_LV_0200_20150317_001245	I'll get rid of the Woodspirit
QUEST_LV_0200_20150317_001246	Forest of Fear
QUEST_LV_0200_20150317_001247	
QUEST_LV_0200_20150317_001248	
QUEST_LV_0200_20150317_001249	
QUEST_LV_0200_20150317_001250	
QUEST_LV_0200_20150317_001251	
QUEST_LV_0200_20150317_001252	
QUEST_LV_0200_20150317_001253	
QUEST_LV_0200_20150317_001254	
QUEST_LV_0200_20150317_001255	
QUEST_LV_0200_20150317_001256	
QUEST_LV_0200_20150317_001257	
QUEST_LV_0200_20150317_001258	
QUEST_LV_0200_20150317_001259	Commander Vacenin (2)
QUEST_LV_0200_20150317_001260	
QUEST_LV_0200_20150317_001261	
QUEST_LV_0200_20150317_001262	
QUEST_LV_0200_20150317_001263	
QUEST_LV_0200_20150317_001264	
QUEST_LV_0200_20150317_001265	
QUEST_LV_0200_20150317_001266	
QUEST_LV_0200_20150317_001267	
QUEST_LV_0200_20150317_001268	
QUEST_LV_0200_20150317_001269	
QUEST_LV_0200_20150317_001270	
QUEST_LV_0200_20150317_001271	
QUEST_LV_0200_20150317_001272	
QUEST_LV_0200_20150317_001273	
QUEST_LV_0200_20150317_001274	
QUEST_LV_0200_20150317_001275	
QUEST_LV_0200_20150317_001276	
QUEST_LV_0200_20150317_001277	
QUEST_LV_0200_20150317_001278	
QUEST_LV_0200_20150317_001279	
QUEST_LV_0200_20150317_001280	
QUEST_LV_0200_20150317_001281	
QUEST_LV_0200_20150317_001282	I'll get rid of the Flame of Sequoia
QUEST_LV_0200_20150317_001283	
QUEST_LV_0200_20150317_001284	
QUEST_LV_0200_20150317_001285	
QUEST_LV_0200_20150317_001286	
QUEST_LV_0200_20150317_001287	
QUEST_LV_0200_20150317_001288	
QUEST_LV_0200_20150317_001289	My help is until here
QUEST_LV_0200_20150317_001290	
QUEST_LV_0200_20150317_001291	
QUEST_LV_0200_20150317_001292	
QUEST_LV_0200_20150317_001293	Dangerous Throneweaver (1)
QUEST_LV_0200_20150317_001294	
QUEST_LV_0200_20150317_001295	
QUEST_LV_0200_20150317_001296	Dangerous Throneweaver (2)
QUEST_LV_0200_20150317_001297	
QUEST_LV_0200_20150317_001298	
QUEST_LV_0200_20150317_001299	
QUEST_LV_0200_20150317_001300	
QUEST_LV_0200_20150317_001301	
QUEST_LV_0200_20150317_001302	
QUEST_LV_0200_20150317_001303	
QUEST_LV_0200_20150317_001304	
QUEST_LV_0200_20150317_001305	
QUEST_LV_0200_20150317_001306	I'll go to Amolarul Hills
QUEST_LV_0200_20150317_001307	
QUEST_LV_0200_20150317_001308	
QUEST_LV_0200_20150317_001309	
QUEST_LV_0200_20150317_001310	
QUEST_LV_0200_20150317_001311	
QUEST_LV_0200_20150317_001312	
QUEST_LV_0200_20150317_001313	
QUEST_LV_0200_20150317_001314	
QUEST_LV_0200_20150317_001315	It is said that coming to collect old Kepa skin
QUEST_LV_0200_20150317_001316	
QUEST_LV_0200_20150317_001317	
QUEST_LV_0200_20150317_001318	
QUEST_LV_0200_20150317_001319	I don't feel so good about it. I won't.
QUEST_LV_0200_20150317_001320	
QUEST_LV_0200_20150317_001321	
QUEST_LV_0200_20150317_001322	
QUEST_LV_0200_20150317_001323	
QUEST_LV_0200_20150317_001324	
QUEST_LV_0200_20150317_001325	
QUEST_LV_0200_20150317_001326	
QUEST_LV_0200_20150317_001327	
QUEST_LV_0200_20150317_001328	
QUEST_LV_0200_20150317_001329	
QUEST_LV_0200_20150317_001330	
QUEST_LV_0200_20150317_001331	
QUEST_LV_0200_20150317_001332	
QUEST_LV_0200_20150317_001333	
QUEST_LV_0200_20150317_001334	
QUEST_LV_0200_20150317_001335	
QUEST_LV_0200_20150317_001336	
QUEST_LV_0200_20150317_001337	I'll help retrieve the supplies
QUEST_LV_0200_20150317_001338	
QUEST_LV_0200_20150317_001339	
QUEST_LV_0200_20150317_001340	
QUEST_LV_0200_20150317_001341	I'll help collect the hooks
QUEST_LV_0200_20150317_001342	
QUEST_LV_0200_20150317_001343	
QUEST_LV_0200_20150317_001344	
QUEST_LV_0200_20150317_001345	
QUEST_LV_0200_20150317_001346	
QUEST_LV_0200_20150317_001347	
QUEST_LV_0200_20150317_001348	
QUEST_LV_0200_20150317_001349	
QUEST_LV_0200_20150317_001350	
QUEST_LV_0200_20150317_001352	
QUEST_LV_0200_20150317_001353	
QUEST_LV_0200_20150317_001355	
QUEST_LV_0200_20150317_001356	
QUEST_LV_0200_20150317_001357	
QUEST_LV_0200_20150317_001358	
QUEST_LV_0200_20150317_001359	
QUEST_LV_0200_20150317_001360	
QUEST_LV_0200_20150317_001361	
QUEST_LV_0200_20150317_001362	
QUEST_LV_0200_20150317_001363	
QUEST_LV_0200_20150317_001364	
QUEST_LV_0200_20150317_001365	
QUEST_LV_0200_20150317_001366	
QUEST_LV_0200_20150317_001367	
QUEST_LV_0200_20150317_001368	Dangerous Throneweaver (3)
QUEST_LV_0200_20150317_001369	I'll get rid of the Throneweaver
QUEST_LV_0200_20150317_001370	
QUEST_LV_0200_20150317_001371	
QUEST_LV_0200_20150317_001372	
QUEST_LV_0200_20150317_001373	
QUEST_LV_0200_20150317_001374	
QUEST_LV_0200_20150317_001375	
QUEST_LV_0200_20150317_001376	
QUEST_LV_0200_20150317_001377	
QUEST_LV_0200_20150317_001378	
QUEST_LV_0200_20150317_001379	I will check it.
QUEST_LV_0200_20150317_001380	I will stand by.
QUEST_LV_0200_20150317_001381	
QUEST_LV_0200_20150317_001382	I will get rid of it
QUEST_LV_0200_20150317_001383	That's too much
QUEST_LV_0200_20150317_001384	
QUEST_LV_0200_20150317_001385	I'll do it when it's safe
QUEST_LV_0200_20150317_001386	Checking/MAKING/1/TRACK_BEFORE/None
QUEST_LV_0200_20150317_001387	
QUEST_LV_0200_20150317_001388	
QUEST_LV_0200_20150317_001389	I will gather it.
QUEST_LV_0200_20150317_001390	
QUEST_LV_0200_20150317_001391	I will steal it.
QUEST_LV_0200_20150317_001392	
QUEST_LV_0200_20150317_001393	I will find it.
QUEST_LV_0200_20150317_001394	
QUEST_LV_0200_20150317_001395	I will find it.
QUEST_LV_0200_20150317_001396	
QUEST_LV_0200_20150317_001397	I will collect it.
QUEST_LV_0200_20150317_001398	
QUEST_LV_0200_20150317_001399	It's not yet time 
QUEST_LV_0200_20150317_001400	
QUEST_LV_0200_20150317_001401	Wish you luck
QUEST_LV_0200_20150317_001402	It's not yet time 
QUEST_LV_0200_20150317_001403	Explaining/TALK/2/TRACK_BEFORE/None
QUEST_LV_0200_20150317_001404	
QUEST_LV_0200_20150317_001405	
QUEST_LV_0200_20150317_001406	I will cover for you.
QUEST_LV_0200_20150317_001407	
QUEST_LV_0200_20150317_001408	Sure, I'll help
QUEST_LV_0200_20150317_001409	That would be hard.
QUEST_LV_0200_20150317_001410	
QUEST_LV_0200_20150317_001411	
QUEST_LV_0200_20150317_001412	
QUEST_LV_0200_20150317_001413	What do you mean.
QUEST_LV_0200_20150317_001414	
QUEST_LV_0200_20150317_001415	
QUEST_LV_0200_20150317_001416	That's not first.
QUEST_LV_0200_20150317_001417	Persuading/TALK/2/TRACK_BEFORE/None
QUEST_LV_0200_20150317_001418	
QUEST_LV_0200_20150317_001419	
QUEST_LV_0200_20150317_001420	
QUEST_LV_0200_20150317_001421	I'll take care of it
QUEST_LV_0200_20150317_001422	
QUEST_LV_0200_20150317_001423	
QUEST_LV_0200_20150317_001424	I don't want to 
QUEST_LV_0200_20150317_001425	
QUEST_LV_0200_20150317_001426	
QUEST_LV_0200_20150317_001427	I'll take care of it
QUEST_LV_0200_20150317_001428	
QUEST_LV_0200_20150317_001429	Removing/ # SITGROPESET / 2 / TRACK_BEFORE / None
QUEST_LV_0200_20150317_001430	
QUEST_LV_0200_20150317_001431	I'll do it
QUEST_LV_0200_20150317_001432	
QUEST_LV_0200_20150317_001433	Refuse
QUEST_LV_0200_20150317_001434	
QUEST_LV_0200_20150317_001435	
QUEST_LV_0200_20150317_001436	
QUEST_LV_0200_20150317_001437	I'm ready
QUEST_LV_0200_20150317_001438	Wait a while
QUEST_LV_0200_20150317_001439	Operating/ MAKING / 3 / TRACK_BEFORE / None
QUEST_LV_0200_20150317_001440	
QUEST_LV_0200_20150317_001441	
QUEST_LV_0200_20150317_001442	
QUEST_LV_0200_20150317_001443	Delivering/ TALK / 0 / TRACK_BEFORE / None
QUEST_LV_0200_20150317_001444	
QUEST_LV_0200_20150317_001445	
QUEST_LV_0200_20150317_001446	
QUEST_LV_0200_20150317_001447	
QUEST_LV_0200_20150317_001448	
QUEST_LV_0200_20150317_001449	I'll get it
QUEST_LV_0200_20150317_001450	Checking/MAKING/1.5/TRACK_BEFORE/None
QUEST_LV_0200_20150317_001451	
QUEST_LV_0200_20150317_001452	
QUEST_LV_0200_20150317_001453	I'll destroy it
QUEST_LV_0200_20150317_001454	
QUEST_LV_0200_20150317_001455	
QUEST_LV_0200_20150317_001456	
QUEST_LV_0200_20150317_001457	
QUEST_LV_0200_20150317_001458	I'll retrieve it
QUEST_LV_0200_20150317_001459	
QUEST_LV_0200_20150317_001460	
QUEST_LV_0200_20150317_001461	Checking/ # SITGROPESET / 2 / TRACK_BEFORE / None
QUEST_LV_0200_20150317_001462	
QUEST_LV_0200_20150317_001463	
QUEST_LV_0200_20150317_001464	I think Kalis, the truth and want
QUEST_LV_0200_20150317_001465	I'll collect it
QUEST_LV_0200_20150317_001466	
QUEST_LV_0200_20150317_001467	
QUEST_LV_0200_20150317_001468	Accept
QUEST_LV_0200_20150317_001469	
QUEST_LV_0200_20150317_001470	
QUEST_LV_0200_20150317_001471	
QUEST_LV_0200_20150317_001472	
QUEST_LV_0200_20150317_001473	I'll take care of it
QUEST_LV_0200_20150317_001474	Using scroll /MAKING/1.5/TRACK_BEFORE/None
QUEST_LV_0200_20150317_001475	
QUEST_LV_0200_20150317_001476	I still want to help
QUEST_LV_0200_20150317_001477	Continue going your way
QUEST_LV_0200_20150317_001478	
QUEST_LV_0200_20150317_001479	
QUEST_LV_0200_20150317_001480	
QUEST_LV_0200_20150317_001481	
QUEST_LV_0200_20150317_001482	
QUEST_LV_0200_20150317_001483	
QUEST_LV_0200_20150317_001484	I'll take a look 
QUEST_LV_0200_20150317_001485	
QUEST_LV_0200_20150317_001486	
QUEST_LV_0200_20150317_001487	
QUEST_LV_0200_20150317_001488	
QUEST_LV_0200_20150317_001489	
QUEST_LV_0200_20150317_001490	
QUEST_LV_0200_20150317_001491	
QUEST_LV_0200_20150317_001492	
QUEST_LV_0200_20150317_001493	
QUEST_LV_0200_20150317_001494	
QUEST_LV_0200_20150317_001495	
QUEST_LV_0200_20150317_001496	
QUEST_LV_0200_20150317_001497	
QUEST_LV_0200_20150317_001498	
QUEST_LV_0200_20150317_001499	BiteRegina you've eaten all the honey
QUEST_LV_0200_20150317_001500	
QUEST_LV_0200_20150317_001501	
QUEST_LV_0200_20150317_001502	
QUEST_LV_0200_20150317_001503	
